City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
488,hindaun,26.7167,77.0167,4.0,63,0,0.46,IN,1672967796
489,evensk,61.95,159.2333,-22.48,72,100,3.5,RU,1672967797
490,dauphin,51.1494,-100.0502,-11.92,79,100,1.03,CA,1672967797
491,beyneu,45.3167,55.2,-1.06,82,26,3.71,KZ,1672967798
492,hohhot,40.8106,111.6522,-8.1,51,0,2.93,CN,1672967553
493,pangai,-19.8,-174.35,29.06,74,75,3.09,TO,1672967799
494,seoul,37.5683,126.9778,-0.31,62,78,1.27,KR,1672967464
495,bull savanna,17.8868,-77.5902,22.57,78,0,3.27,JM,1672967799
496,coahuayana,18.7333,-103.6833,23.31,89,0,0.68,MX,1672967800
497,gravdal,68.1214,13.5031,-3.27,64,0,7.57,NO,1672967800
498,hualmay,-11.0964,-77.6139,21.24,77,100,3.72,PE,1672967434
499,korla,41.7597,86.1469,-6.41,48,5,0.94,CN,1672967801
500,trincomalee,8.5711,81.2335,25.63,82,60,7.09,LK,1672968026
501,karaman,37.0833,33.25,1.26,41,54,2.98,TR,1672967684
502,calabozo,8.9242,-67.4293,27.5,53,89,2.41,VE,1672967802
503,strezhevoy,60.7333,77.5889,-13.28,96,100,3.03,RU,1672967803
504,farmington,36.7281,-108.2187,3.38,65,0,6.17,US,1672967739
505,aras,42.5617,-2.356,-0.76,93,0,0.0,ES,1672967803
506,hasaki,35.7333,140.8333,6.27,42,100,1.78,JP,1672968027
507,praxedis guerrero,31.3667,-106.0167,14.7,31,82,2.6,MX,1672967804
508,dudinka,69.4058,86.1778,-41.88,91,6,5.48,RU,1672967805
509,port blair,11.6667,92.75,26.02,83,20,1.03,IN,1672967805
510,campina verde,-19.5356,-49.4864,20.17,96,100,1.13,BR,1672967439
511,grindavik,63.8424,-22.4338,-4.74,86,0,2.06,IS,1672967806
512,thunder bay,48.4001,-89.3168,-17.8,92,70,2.45,CA,1672967227
513,mackay,-21.15,149.2,24.38,80,100,5.63,AU,1672967570
514,vorontsovka,50.6132,40.3549,1.25,99,100,2.82,RU,1672967807
515,baruun-urt,46.6806,113.2792,-19.47,97,100,1.97,MN,1672967807
516,viedma,-40.8135,-62.9967,22.51,49,0,8.02,AR,1672967808
517,sambava,-14.2667,50.1667,23.83,88,92,3.06,MG,1672967808
